area,vector,hpi
24.8528595,EV,24
4.40099704,EV,24
15.3591873,EV,24
5.04438827,EV,24
2.49382872,EV,24
2.78714133,EV,24
5.63124432,EV,24
7.68695998,EV,24
14.6450939,EV,24
11.8025751,EV,24
1.62309431,HIGS,24
1.27105427,HIGS,24
1.10698825,HIGS,24
1.34314255,HIGS,24
1.97963571,HIGS,24
1.19192935,HIGS,24
2.39908294,HIGS,24
1.35737956,HIGS,24
3.26006238,HIGS,24
2.03719524,HIGS,24
92.5602721,EV,48
89.3248658,EV,48
97.0894902,EV,48
81.1962233,EV,48
83.882601,EV,48
94.1595442,EV,48
98.6218777,EV,48
99.9566537,EV,48
83.1497401,EV,48
99.7449146,EV,48
50.4904365,HIGS,48
47.6227702,HIGS,48
46.3948636,HIGS,48
41.307501,HIGS,48
74.2196016,HIGS,48
56.0016038,HIGS,48
48.9791623,HIGS,48
52.1525215,HIGS,48
43.9603801,HIGS,48
46.0940536,HIGS,48